Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,120.65,-79.756,180,top
C2,0.1uF,C_0402_1005Metric,127,-79.3242,90,top
C3,47uF 16V,CP_Elec_5x5.4,181.4576,-88.4076,90,top
C4,0.1uF 16V,C_0402_1005Metric,185.4708,-88.1981,90,top
C5,100uF 25V,CP_Radial_D8.0mm_P3.50mm,162.2806,-102.360349,-90,top
C6,680uF 25V,CP_Radial_D8.0mm_P3.50mm,171.2214,-102.385749,-90,top
C7,680uF 25V,CP_Radial_D8.0mm_P3.50mm,180.086,-102.3874,-90,top
C8,0.1uF,C_0402_1005Metric,163.096,-93.98,0,top
C9,100uF 25V,CP_Radial_D8.0mm_P3.50mm,100.556949,-88.4682,0,top
C10,0.47uF,C_0603_1608Metric,154.546,-84.836,180,top
D1,LED,LED_0603_1608Metric,114.046,-70.866,-90,top
D2,SS34,D_SMA,165.214,-97.555,180,top
D3,B5819W SL,D_SOD-123,188.722,-100.838,0,top
D4,SM4007PL,D_SOD-123F,156.578,-81.045,180,top
D5,LED,LED_0603_1608Metric,178.943,-95.1484,-90,top
J1,B2B-XH-A(LF)(SN),JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,101.092,-99.568,90,top
J2,B2B-XH-A(LF)(SN),JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,187.452,-93.726,0,top
J3,B3B-XH-A(LF)(SN),JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,119.0752,-71.8482,0,top
J5,B4B-XH-A(LF)(SN),JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,148.1582,-109.4232,180,top
J6,Conn_01x08_Female,PinSocket_1x08_P2.54mm_Vertical,110.134,-92.725,90,top
J7,Conn_01x08_Female,PinSocket_1x08_P2.54mm_Vertical,132.994,-92.725,90,top
J8,B2B-XH-A(LF)(SN),JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,189.972,-109.745,180,top
J9,B2B-XH-A(LF)(SN),JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,131.7752,-71.7042,0,top
J10,B2B-XH-A(LF)(SN),JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,141.9352,-71.7042,0,top
J11,B2B-XH-A(LF)(SN),JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,152.0952,-71.7042,0,top
J12,B2B-XH-A(LF)(SN),JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,162.2352,-71.7212,0,top
J13,B2B-XH-A(LF)(SN),JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,172.3952,-71.7212,0,top
L1,15 uH,SSL0804_Inductor_SMD,150.736,-97.555,0,top
Q1,Q_NPN_BEC,SOT-23,151.178,-82.3935,90,top
Q2,Q_NPN_BEC,SOT-23,150.162,-87.2195,90,top
R1,30K,R_0402_1005Metric,137.5156,-97.3074,0,top
R2,4.7K,R_0805_2012Metric,112.014,-71.0437,-90,top
R3,220R,R_0805_2012Metric,117.602,-78.486,0,top
R4,1K,R_0402_1005Metric,128.4986,-80.3148,90,top
R6,2.2K,R_0805_2012Metric,146.304,-84.836,0,top
R7,22K,R_0805_2012Metric,147.574,-81.28,0,top
R8,500R 1W 2512 ,R_2512_6332Metric,174.1106,-95.8406,0,top
R9,30K,R_0402_1005Metric,181.7116,-80.8482,-90,top
R10,30K,R_0402_1005Metric,183.1594,-76.962,90,top
R11,30K,R_0402_1005Metric,185.1406,-80.645,180,top
R12,2.2K,R_0805_2012Metric,145.59,-88.2355,0,top
R13,2K,R_0402_1005Metric,158.417,-87.649,0,top
R14,2K,R_0402_1005Metric,158.335,-84.836,180,top
R15,30K,R_0402_1005Metric,149.6548,-89.916,0,top
U1,SN74LVC1T45DBV,SOT-23-6,123.952,-80.772,0,top
U2,LM2586SX-ADJ/NOPB_1,TO-263-7_TabPin8,169.852,-87.668,0,top
